,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,yellowknife,62.456,-114.3525,59.13,64,12,11.74,CA,1623644053
129,tamworth,52.634,-1.6959,64.45,79,3,1.01,GB,1623644166
130,ewa beach,21.3156,-158.0072,79.99,57,1,15.99,US,1623644167
131,padre bernardo,-15.35,-48.5,71.92,53,78,3.11,BR,1623644168
132,gainesville,29.6516,-82.3248,73.24,94,75,4.61,US,1623643970
133,kununurra,-15.7667,128.7333,89.58,18,39,5.75,AU,1623644171
134,ipixuna,-1.7625,-48.8043,76.95,98,74,2.73,BR,1623644172
135,altay,47.8667,88.1167,59.61,39,10,7.74,CN,1623644173
136,novobiryusinskiy,56.9578,97.7076,47.32,88,100,8.97,RU,1623644174
137,jardim,-21.4803,-56.1381,57.87,74,0,3.91,BR,1623644176
138,morro da fumaca,-28.6508,-49.21,51.93,90,0,4.05,BR,1623644177
139,bud,39.447,-86.1758,70.34,60,0,5.68,US,1623644178
140,kutum,14.2,24.6667,77.29,17,92,4.79,SD,1623644179
141,manavalakurichi,8.1333,77.3,78.89,81,100,18.03,IN,1623644181
142,owando,-0.4819,15.8999,69.94,92,40,2.15,CG,1623644183
143,tuy hoa,13.0833,109.3,88.11,56,98,7.54,VN,1623644184
144,bentiu,9.2333,29.8333,78.55,65,58,6.29,SS,1623644185
145,braniewo,54.3797,19.8196,54.45,87,10,6.11,PL,1623644186
146,barguzin,53.6167,109.6167,53.51,78,99,4.85,RU,1623644187
147,murgab,37.4966,61.9714,87.67,25,0,13.8,TM,1623644189
148,ponta do sol,32.6667,-17.1,68.72,73,93,4.74,PT,1623644190
149,ancud,-41.8697,-73.8203,36.43,75,5,5.01,CL,1623644191
150,collipulli,-37.95,-72.4333,42.4,92,100,8.63,CL,1623644192
151,peace river,56.2501,-117.286,70.11,45,75,9.22,CA,1623644194
152,barrow,71.2906,-156.7887,36.23,85,97,15.03,US,1623644195
153,noumea,-22.2763,166.4572,78.78,99,100,8.23,NC,1623643967
154,talca,-35.4333,-71.6667,54.16,89,100,6.58,CL,1623644197
155,hanzhong,33.0728,107.0303,72.25,99,100,3.4,CN,1623644198
156,torbay,47.6666,-52.7314,47.57,89,90,14.97,CA,1623644200
157,pontes e lacerda,-15.2261,-59.3353,66.45,80,0,3.44,BR,1623644201
158,kailua,21.4022,-157.7394,80.02,69,11,14.9,US,1623643921
159,victoria,22.2855,114.1577,90.97,86,98,8.99,HK,1623644061
